bundle_name,card_index,data_amount,description,list_item_index,package_type,price,scrape_method,source_page,speed,title,validity
Fibre,1,40GB,Data Bundle40GBFibreAnytime Data40GB,,postpaid,Monthly RentalRs.3530Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Trio Vibe,
Fibre,2,40GB,Data Bundle40GBFibreAnytime Data40GB,,postpaid,Monthly RentalRs.4100Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Trio Vibe Plus,
Fibre,3,100,Data Bundle100FibreAnytime Data100 GB,,postpaid,Monthly RentalRs.4950Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Trio Shine,
4G,4,50GB,Data Bundle50GB4GAnytime Data50GB,,postpaid,Monthly RentalRs.1290Startup Fee:Rs.1290,playwright,Regular Broadband Packages,,HBB Anytime 50GB,
ADSL,5,36,Data Bundle36ADSLAnytime Data36 GB,,postpaid,Monthly RentalRs.1550Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Any Beat,
4G,6,85GB,Data Bundle85GB4GAnytime Data85GB,,postpaid,Monthly RentalRs.1890Startup Fee:Rs.1890,playwright,Regular Broadband Packages,,HBB Anytime 85GB,
Fibre,7,58,Data Bundle58FibreAnytime Data58 GB53ADSLAnytime Data53 GB,,postpaid,Monthly RentalRs.2150Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Any Flix,
4G,8,115GB,Data Bundle115GB4GAnytime Data115GB,,postpaid,Monthly RentalRs.2590Startup Fee:Rs.2590,playwright,Regular Broadband Packages,,HBB Anytime 115GB,
Fibre,9,120,Data Bundle120FibreAnytime Data120 GB100ADSLAnytime Data100 GB,,postpaid,Monthly RentalRs.3890Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Any Tide,
4G,10,200GB,Data Bundle200GB4GAnytime Data200GB,,postpaid,Monthly RentalRs.3990Startup Fee:Rs.3990,playwright,Regular Broadband Packages,,HBB Anytime 200GB,
4G,11,400GB,Data Bundle400GB4GAnytime Data400GB,,postpaid,Monthly RentalRs.7990Startup Fee:Rs.7990,playwright,Regular Broadband Packages,,HBB Anytime 400GB,
Fibre,12,200GB,Data Bundle200GBFibreAnytime Data200GB per day + unlimited Entertainment Bundle + Unlimited Calls,,postpaid,Monthly RentalRs.75000Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Ultra Flash Prime,
Fibre,13,5TB,Data Bundle5TBFibreAnytime Data5TB + unlimited Entertainment Bundle + Unlimited Calls,,postpaid,Monthly RentalRs.75000Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Ultra Prime,
4G,14,Daily,Data BundleDaily4GUnlimited DataDaily 5GB at standard LTE speed,,postpaid,Monthly RentalRs.2350Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Unlimited LTE Flash 5,
4G,15,Up,Data BundleUp4GUnlimited DataUp to 2Mbps speed,,postpaid,Monthly RentalRs.2950Startup Fee:Rs.500,playwright,Regular Broadband Packages,2Mbps,LTE Unlimited 2,
4G,16,Daily,Data BundleDaily4GUnlimited DataDaily 10GB at standard LTE speed,,postpaid,Monthly RentalRs.4090Startup Fee:Rs.500,playwright,Regular Broadband Packages,,Unlimited LTE Flash 10,
4G,17,Up,Data BundleUp4GUnlimited DataUp to 4Mbps speed,,postpaid,Monthly RentalRs.5150Startup Fee:Rs.500,playwright,Regular Broadband Packages,4Mbps,LTE Unlimited 4,
ADSL,18,Up,Data BundleUpADSLUnlimited DataUp to 4Mbps speed,,postpaid,Monthly RentalRs.5790Startup Fee:Rs.500,playwright,Regular Broadband Packages,4Mbps,ADSL Unlimited 4,
