title,data_amount,bundle_name,price,speed,validity,description,card_index
Trio Vibe,40GB,Fibre, RRs.3530 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,1
Trio Vibe Plus,40GB,Fibre, RRs.4100 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,2
Trio Shine,100,Fibre, RRs.4950 Rs.500,100 GB,,Data Bundle100FibreAnytime Data100 GB,3
HBB Anytime 50GB,50GB,4G, RRs.1290 Rs.1290,50GB,,Data Bundle50GB4GAnytime Data50GB,4
Any Beat,36,ADSL, RRs.1550 Rs.500,36 GB,,Data Bundle36ADSLAnytime Data36 GB,5
HBB Anytime 85GB,85GB,4G, RRs.1890 Rs.1890,85GB,,Data Bundle85GB4GAnytime Data85GB,6
Any Flix,58,Fibre, RRs.2150 Rs.500,58 GB,,Data Bundle58FibreAnytime Data58 GB53ADSLAnytime Data53 GB,7
HBB Anytime 115GB,115GB,4G, RRs.2590 Rs.2590,115GB,,Data Bundle115GB4GAnytime Data115GB,8
Any Tide,120,Fibre, RRs.3890 Rs.500,120 GB,,Data Bundle120FibreAnytime Data120 GB100ADSLAnytime Data100 GB,9
HBB Anytime 200GB,200GB,4G, RRs.3990 Rs.3990,200GB,,Data Bundle200GB4GAnytime Data200GB,10
HBB Anytime 400GB,400GB,4G, RRs.7990 Rs.7990,400GB,,Data Bundle400GB4GAnytime Data400GB,11
Ultra Flash Prime,200GB,Fibre, RRs.75000 Rs.500,200GB,,Data Bundle200GBFibreAnytime Data200GB per day + unlimited Entertainment Bundle + Unlimited Calls,12
Ultra Prime,5TB,Fibre, RRs.75000 Rs.500,,,Data Bundle5TBFibreAnytime Data5TB + unlimited Entertainment Bundle + Unlimited Calls,13
Trio Vibe,40GB,Fibre, RRs.3530 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,14
Trio Vibe Plus,40GB,Fibre, RRs.4100 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,15
Trio Shine,100,Fibre, RRs.4950 Rs.500,100 GB,,Data Bundle100FibreAnytime Data100 GB,16
